code,name,buy_pct,sell_pct,window_start,window_end,approx_multiple
300489,光智科技,3.0,3.0,2024-09-09,2024-10-24,5.788
300489,光智科技,2.0,7.0,2024-09-09,2024-10-24,5.788
300489,光智科技,2.0,5.0,2024-09-09,2024-10-24,5.788
300489,光智科技,2.0,3.0,2024-09-09,2024-10-24,5.788
300489,光智科技,3.0,7.0,2024-09-09,2024-10-24,5.788
300489,光智科技,3.0,5.0,2024-09-09,2024-10-24,5.788
300489,光智科技,4.0,7.0,2024-09-09,2024-10-24,5.438
300489,光智科技,5.0,3.0,2024-09-09,2024-10-24,5.438
300489,光智科技,5.0,5.0,2024-09-09,2024-10-24,5.438
300489,光智科技,5.0,7.0,2024-09-09,2024-10-24,5.438
300489,光智科技,4.0,5.0,2024-09-09,2024-10-24,5.438
300489,光智科技,4.0,3.0,2024-09-09,2024-10-24,5.438
300085,银之杰,4.0,7.0,2024-08-30,2024-10-09,5.436
300085,银之杰,4.0,5.0,2024-08-30,2024-10-09,5.436
300085,银之杰,3.0,3.0,2024-08-30,2024-10-09,5.436
300085,银之杰,4.0,3.0,2024-08-30,2024-10-09,5.436
300085,银之杰,2.0,7.0,2024-08-30,2024-10-09,5.436
300085,银之杰,2.0,5.0,2024-08-30,2024-10-09,5.436
300085,银之杰,2.0,3.0,2024-08-30,2024-10-09,5.436
300085,银之杰,3.0,5.0,2024-08-30,2024-10-09,5.436
300085,银之杰,3.0,7.0,2024-08-30,2024-10-09,5.436
300641,正丹股份,2.0,7.0,2024-04-02,2024-05-15,5.141
300641,正丹股份,2.0,5.0,2024-04-02,2024-05-15,5.141
300641,正丹股份,3.0,5.0,2024-04-02,2024-05-15,5.141
300641,正丹股份,3.0,7.0,2024-04-02,2024-05-15,5.141
300641,正丹股份,4.0,7.0,2024-04-02,2024-05-15,5.141
300641,正丹股份,4.0,5.0,2024-04-02,2024-05-15,5.141
300641,正丹股份,5.0,5.0,2024-04-02,2024-05-15,4.881
300641,正丹股份,5.0,7.0,2024-04-02,2024-05-15,4.881
002583,海能达,3.0,7.0,2024-09-25,2024-10-31,4.777
002583,海能达,4.0,7.0,2024-09-25,2024-10-31,4.777
002583,海能达,2.0,7.0,2024-09-25,2024-10-31,4.777
002583,海能达,5.0,7.0,2024-09-25,2024-10-31,4.777
002583,海能达,4.0,5.0,2024-09-25,2024-10-31,4.351
002583,海能达,5.0,5.0,2024-09-25,2024-10-31,4.351
002583,海能达,3.0,5.0,2024-09-25,2024-10-31,4.351
002583,海能达,2.0,5.0,2024-09-25,2024-10-31,4.351
300085,银之杰,5.0,7.0,2024-09-20,2024-10-28,4.121
000957,中通客车,2.0,3.0,2022-05-13,2022-06-21,4.056
000957,中通客车,2.0,5.0,2022-05-13,2022-06-21,4.056
000957,中通客车,4.0,5.0,2022-05-13,2022-06-21,4.056
000957,中通客车,4.0,3.0,2022-05-13,2022-06-21,4.056
000957,中通客车,4.0,7.0,2022-05-13,2022-06-21,4.056
000957,中通客车,5.0,3.0,2022-05-13,2022-06-21,4.056
000957,中通客车,5.0,7.0,2022-05-13,2022-06-21,4.056
000957,中通客车,5.0,5.0,2022-05-13,2022-06-21,4.056
000957,中通客车,3.0,7.0,2022-05-13,2022-06-21,4.056
000957,中通客车,3.0,5.0,2022-05-13,2022-06-21,4.056
000957,中通客车,3.0,3.0,2022-05-13,2022-06-21,4.056
000957,中通客车,2.0,7.0,2022-05-13,2022-06-21,4.056
300641,正丹股份,2.0,3.0,2024-03-29,2024-05-06,4.002
002583,海能达,2.0,3.0,2024-09-25,2024-10-31,3.963
002583,海能达,5.0,3.0,2024-09-25,2024-10-31,3.963
002583,海能达,3.0,3.0,2024-09-25,2024-10-31,3.963
002583,海能达,4.0,3.0,2024-09-25,2024-10-31,3.963
300641,正丹股份,5.0,3.0,2024-03-29,2024-05-06,3.899
300641,正丹股份,4.0,3.0,2024-03-29,2024-05-06,3.843
300641,正丹股份,3.0,3.0,2024-03-29,2024-05-06,3.843
300085,银之杰,5.0,3.0,2024-09-10,2024-10-18,3.792
300085,银之杰,5.0,5.0,2024-09-10,2024-10-18,3.792
002432,九安医疗,3.0,3.0,2021-11-03,2021-12-02,3.34
002432,九安医疗,2.0,7.0,2021-11-03,2021-12-02,3.34
002432,九安医疗,3.0,7.0,2021-11-03,2021-12-02,3.34
002432,九安医疗,3.0,5.0,2021-11-03,2021-12-02,3.34
002432,九安医疗,2.0,5.0,2021-11-03,2021-12-02,3.34
002432,九安医疗,2.0,3.0,2021-11-03,2021-12-02,3.34
600839,四川长虹,2.0,7.0,2024-09-25,2024-10-31,3.304
002432,九安医疗,4.0,3.0,2021-11-03,2021-12-02,3.249
002432,九安医疗,4.0,5.0,2021-11-03,2021-12-02,3.249
002432,九安医疗,5.0,3.0,2021-11-03,2021-12-02,3.249
002432,九安医疗,5.0,5.0,2021-11-03,2021-12-02,3.249
002432,九安医疗,5.0,7.0,2021-11-03,2021-12-02,3.249
002432,九安医疗,4.0,7.0,2021-11-03,2021-12-02,3.249
600839,四川长虹,2.0,5.0,2024-09-25,2024-10-31,3.242
600839,四川长虹,2.0,3.0,2024-09-25,2024-10-31,3.242
600839,四川长虹,3.0,7.0,2024-09-25,2024-10-31,3.181
600839,四川长虹,3.0,3.0,2024-09-25,2024-10-31,3.121
600839,四川长虹,3.0,5.0,2024-09-25,2024-10-31,3.121
600611,大众交通,2.0,3.0,2024-07-05,2024-08-05,2.992
600611,大众交通,2.0,5.0,2024-07-05,2024-08-05,2.992
600611,大众交通,4.0,5.0,2024-07-05,2024-08-05,2.992
600611,大众交通,4.0,3.0,2024-07-05,2024-08-05,2.992
600611,大众交通,2.0,7.0,2024-07-05,2024-08-05,2.992
600611,大众交通,3.0,3.0,2024-07-05,2024-08-05,2.992
600611,大众交通,3.0,5.0,2024-07-05,2024-08-05,2.992
600611,大众交通,3.0,7.0,2024-07-05,2024-08-05,2.992
600611,大众交通,4.0,7.0,2024-07-05,2024-08-05,2.992
000158,常山北明,4.0,5.0,2024-09-25,2024-10-31,2.964
000158,常山北明,2.0,3.0,2024-09-25,2024-10-31,2.964
000158,常山北明,4.0,3.0,2024-09-25,2024-10-31,2.964
000158,常山北明,5.0,5.0,2024-09-25,2024-10-31,2.964
000158,常山北明,2.0,5.0,2024-09-25,2024-10-31,2.964
000158,常山北明,3.0,3.0,2024-09-25,2024-10-31,2.964
000158,常山北明,3.0,5.0,2024-09-25,2024-10-31,2.964
000158,常山北明,5.0,3.0,2024-09-25,2024-10-31,2.964
300468,四方精创,3.0,7.0,2024-09-11,2024-10-21,2.956
300468,四方精创,3.0,3.0,2024-09-11,2024-10-21,2.956
300468,四方精创,3.0,5.0,2024-09-11,2024-10-21,2.956
300468,四方精创,2.0,5.0,2024-09-11,2024-10-21,2.892
300468,四方精创,2.0,7.0,2024-09-11,2024-10-21,2.892
600839,四川长虹,4.0,7.0,2024-09-25,2024-10-31,2.876
600839,四川长虹,5.0,7.0,2024-09-25,2024-10-31,2.876
002761,浙江建投,2.0,7.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,2.0,5.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,4.0,3.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,3.0,7.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,4.0,5.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,3.0,3.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,2.0,3.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,3.0,5.0,2022-02-10,2022-03-18,2.859
002761,浙江建投,4.0,7.0,2022-02-10,2022-03-18,2.859
000158,常山北明,4.0,7.0,2024-09-10,2024-10-18,2.849
000158,常山北明,3.0,7.0,2024-09-10,2024-10-18,2.849
000158,常山北明,5.0,7.0,2024-09-10,2024-10-18,2.849
000158,常山北明,2.0,7.0,2024-09-10,2024-10-18,2.849
300468,四方精创,2.0,3.0,2024-09-11,2024-10-21,2.846
600839,四川长虹,4.0,3.0,2024-09-25,2024-10-31,2.822
600839,四川长虹,5.0,5.0,2024-09-25,2024-10-31,2.822
600839,四川长虹,4.0,5.0,2024-09-25,2024-10-31,2.822
600839,四川长虹,5.0,3.0,2024-09-25,2024-10-31,2.822
600611,大众交通,5.0,5.0,2024-07-05,2024-08-05,2.815
600611,大众交通,5.0,3.0,2024-07-05,2024-08-05,2.815
600611,大众交通,5.0,7.0,2024-07-05,2024-08-05,2.815
300468,四方精创,4.0,3.0,2024-09-11,2024-10-21,2.747
300468,四方精创,4.0,7.0,2024-09-11,2024-10-21,2.747
300468,四方精创,4.0,5.0,2024-09-11,2024-10-21,2.747
002761,浙江建投,5.0,7.0,2022-02-10,2022-03-18,2.604
002761,浙江建投,5.0,3.0,2022-02-10,2022-03-18,2.604
002761,浙江建投,5.0,5.0,2022-02-10,2022-03-18,2.604
300377,赢时胜,2.0,5.0,2024-08-30,2024-10-09,2.543
300377,赢时胜,2.0,7.0,2024-08-30,2024-10-09,2.543
300377,赢时胜,3.0,7.0,2024-08-30,2024-10-09,2.513
300377,赢时胜,3.0,5.0,2024-08-30,2024-10-09,2.513
300468,四方精创,5.0,7.0,2024-09-05,2024-10-15,2.505
300468,四方精创,5.0,3.0,2024-09-05,2024-10-15,2.505
300468,四方精创,5.0,5.0,2024-09-05,2024-10-15,2.505
688256,寒武纪,2.0,7.0,2023-03-08,2023-04-07,2.447
688256,寒武纪,2.0,5.0,2023-03-08,2023-04-07,2.447
300377,赢时胜,2.0,3.0,2024-08-30,2024-10-09,2.424
300377,赢时胜,4.0,7.0,2024-08-30,2024-10-09,2.409
300377,赢时胜,4.0,5.0,2024-08-30,2024-10-09,2.409
300377,赢时胜,5.0,3.0,2024-08-30,2024-10-09,2.399
300377,赢时胜,5.0,5.0,2024-08-30,2024-10-09,2.399
300377,赢时胜,5.0,7.0,2024-08-30,2024-10-09,2.399
300377,赢时胜,3.0,3.0,2024-08-30,2024-10-09,2.396
002131,利欧股份,4.0,7.0,2024-11-07,2024-12-06,2.378
002131,利欧股份,2.0,7.0,2024-11-07,2024-12-06,2.378
002131,利欧股份,3.0,7.0,2024-11-07,2024-12-06,2.378
688256,寒武纪,2.0,3.0,2023-03-06,2023-04-04,2.339
601127,赛力斯,3.0,7.0,2021-04-06,2021-05-10,2.298
601127,赛力斯,5.0,7.0,2021-04-06,2021-05-10,2.298
601127,赛力斯,2.0,7.0,2021-04-06,2021-05-10,2.298
601127,赛力斯,4.0,7.0,2021-04-06,2021-05-10,2.298
300377,赢时胜,4.0,3.0,2024-08-30,2024-10-09,2.297
002131,利欧股份,5.0,7.0,2024-11-07,2024-12-06,2.295
601127,赛力斯,2.0,5.0,2020-11-03,2020-12-02,2.288
300059,东方财富,3.0,5.0,2024-08-30,2024-10-09,2.275
300059,东方财富,2.0,5.0,2024-08-30,2024-10-09,2.275
300059,东方财富,3.0,7.0,2024-08-30,2024-10-09,2.275
300059,东方财富,2.0,7.0,2024-08-30,2024-10-09,2.275
688256,寒武纪,3.0,5.0,2025-07-30,2025-08-28,2.238
688256,寒武纪,3.0,7.0,2025-07-30,2025-08-28,2.238
601127,赛力斯,2.0,3.0,2020-11-03,2020-12-02,2.234
002466,天齐锂业,2.0,7.0,2020-12-14,2021-01-13,2.23
300059,东方财富,2.0,3.0,2024-08-30,2024-10-09,2.2
300059,东方财富,3.0,3.0,2024-08-30,2024-10-09,2.2
601788,光大证券,4.0,7.0,2020-06-08,2020-07-09,2.187
601788,光大证券,3.0,3.0,2020-06-08,2020-07-09,2.187
601788,光大证券,4.0,3.0,2020-06-08,2020-07-09,2.187
601788,光大证券,4.0,5.0,2020-06-08,2020-07-09,2.187
601788,光大证券,5.0,7.0,2020-06-08,2020-07-09,2.187
601788,光大证券,2.0,5.0,2020-06-08,2020-07-09,2.187
601788,光大证券,5.0,5.0,2020-06-08,2020-07-09,2.187
601788,光大证券,3.0,7.0,2020-06-08,2020-07-09,2.187
601788,光大证券,2.0,7.0,2020-06-08,2020-07-09,2.187
601788,光大证券,5.0,3.0,2020-06-08,2020-07-09,2.187
601788,光大证券,2.0,3.0,2020-06-08,2020-07-09,2.187
601788,光大证券,3.0,5.0,2020-06-08,2020-07-09,2.187
300308,中际旭创,2.0,7.0,2023-03-21,2023-04-20,2.179
688256,寒武纪,4.0,5.0,2023-03-08,2023-04-07,2.178
688256,寒武纪,4.0,7.0,2023-03-08,2023-04-07,2.178
002131,利欧股份,3.0,5.0,2024-11-07,2024-12-06,2.168
688256,寒武纪,3.0,3.0,2025-07-30,2025-08-28,2.168
002131,利欧股份,2.0,5.0,2024-11-07,2024-12-06,2.168
002131,利欧股份,4.0,5.0,2024-11-07,2024-12-06,2.168
300308,中际旭创,5.0,7.0,2023-03-17,2023-04-18,2.131
300308,中际旭创,4.0,7.0,2023-03-17,2023-04-18,2.131
300308,中际旭创,3.0,7.0,2023-03-17,2023-04-18,2.131
002466,天齐锂业,4.0,7.0,2020-12-14,2021-01-13,2.125
002466,天齐锂业,3.0,7.0,2020-12-14,2021-01-13,2.125
300308,中际旭创,2.0,5.0,2023-03-21,2023-04-20,2.121
688256,寒武纪,5.0,5.0,2023-02-24,2023-03-27,2.12
688256,寒武纪,5.0,7.0,2023-02-24,2023-03-27,2.12
601127,赛力斯,3.0,3.0,2021-04-06,2021-05-10,2.092
002131,利欧股份,5.0,5.0,2024-11-07,2024-12-06,2.092
601127,赛力斯,5.0,5.0,2020-11-03,2020-12-02,2.092
601127,赛力斯,4.0,5.0,2020-11-03,2020-12-02,2.092
601127,赛力斯,4.0,3.0,2021-04-06,2021-05-10,2.092
601127,赛力斯,3.0,5.0,2020-11-03,2020-12-02,2.092
601127,赛力斯,5.0,3.0,2021-04-06,2021-05-10,2.092
002131,利欧股份,3.0,3.0,2024-11-07,2024-12-06,2.086
002131,利欧股份,2.0,3.0,2024-11-07,2024-12-06,2.086
688256,寒武纪,4.0,3.0,2023-03-06,2023-04-04,2.081
300059,东方财富,5.0,3.0,2024-08-30,2024-10-09,2.059
300059,东方财富,4.0,7.0,2024-08-30,2024-10-09,2.059
300059,东方财富,4.0,3.0,2024-08-30,2024-10-09,2.059
300059,东方财富,5.0,7.0,2024-08-30,2024-10-09,2.059
300059,东方财富,5.0,5.0,2024-08-30,2024-10-09,2.059
300059,东方财富,4.0,5.0,2024-08-30,2024-10-09,2.059
300308,中际旭创,2.0,3.0,2023-03-21,2023-04-20,2.055
002466,天齐锂业,2.0,5.0,2020-12-14,2021-01-13,2.025
300308,中际旭创,5.0,5.0,2023-03-08,2023-04-07,2.018
300308,中际旭创,3.0,5.0,2023-03-08,2023-04-07,2.018
300308,中际旭创,4.0,5.0,2023-03-08,2023-04-07,2.018
600733,北汽蓝谷,2.0,7.0,2024-02-08,2024-03-18,2.014
600733,北汽蓝谷,2.0,5.0,2024-02-08,2024-03-18,2.014
002466,天齐锂业,5.0,7.0,2020-12-14,2021-01-13,1.976
600733,北汽蓝谷,5.0,5.0,2024-02-05,2024-03-13,1.957
600733,北汽蓝谷,5.0,7.0,2024-02-05,2024-03-13,1.957
600733,北汽蓝谷,4.0,7.0,2024-02-05,2024-03-13,1.957
600733,北汽蓝谷,3.0,7.0,2024-02-05,2024-03-13,1.957
600733,北汽蓝谷,3.0,5.0,2024-02-05,2024-03-13,1.957
600733,北汽蓝谷,4.0,5.0,2024-02-05,2024-03-13,1.957
300308,中际旭创,3.0,3.0,2023-03-08,2023-04-07,1.956
688256,寒武纪,5.0,3.0,2023-03-06,2023-04-04,1.937
002131,利欧股份,4.0,3.0,2024-11-07,2024-12-06,1.902
300308,中际旭创,4.0,3.0,2023-03-08,2023-04-07,1.846
300308,中际旭创,5.0,3.0,2023-03-08,2023-04-07,1.846
002131,利欧股份,5.0,3.0,2024-11-07,2024-12-06,1.836
002466,天齐锂业,2.0,3.0,2020-12-14,2021-01-13,1.833
002466,天齐锂业,4.0,5.0,2020-12-14,2021-01-13,1.798
002466,天齐锂业,3.0,5.0,2020-12-14,2021-01-13,1.798
002466,天齐锂业,5.0,5.0,2020-12-14,2021-01-13,1.672
600733,北汽蓝谷,2.0,3.0,2021-03-22,2021-04-21,1.65
600733,北汽蓝谷,3.0,3.0,2021-03-22,2021-04-21,1.65
600733,北汽蓝谷,5.0,3.0,2024-02-05,2024-03-13,1.643
600733,北汽蓝谷,4.0,3.0,2024-02-05,2024-03-13,1.643
002466,天齐锂业,3.0,3.0,2020-12-14,2021-01-13,1.627
002466,天齐锂业,4.0,3.0,2020-12-14,2021-01-13,1.627
002466,天齐锂业,5.0,3.0,2022-04-19,2022-05-23,1.537
600030,中信证券,2.0,7.0,2024-08-30,2024-10-09,1.472
600030,中信证券,2.0,3.0,2024-08-30,2024-10-09,1.472
600030,中信证券,2.0,5.0,2024-08-30,2024-10-09,1.472
600030,中信证券,3.0,5.0,2024-08-30,2024-10-09,1.382
600030,中信证券,5.0,7.0,2024-08-30,2024-10-09,1.382
600030,中信证券,3.0,7.0,2024-08-30,2024-10-09,1.382
600030,中信证券,4.0,3.0,2024-08-30,2024-10-09,1.382
600030,中信证券,4.0,5.0,2024-08-30,2024-10-09,1.382
600030,中信证券,4.0,7.0,2024-08-30,2024-10-09,1.382
600030,中信证券,5.0,3.0,2024-08-30,2024-10-09,1.382
600030,中信证券,5.0,5.0,2024-08-30,2024-10-09,1.382
600030,中信证券,3.0,3.0,2024-08-30,2024-10-09,1.382
000001,平安银行(对照),5.0,7.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),2.0,5.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),4.0,5.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),3.0,7.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),3.0,5.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),2.0,7.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),5.0,5.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),4.0,7.0,2021-01-05,2021-02-03,1.264
000001,平安银行(对照),2.0,3.0,2020-12-31,2021-02-01,1.244
000001,平安银行(对照),4.0,3.0,2020-12-31,2021-02-01,1.244
000001,平安银行(对照),5.0,3.0,2020-12-31,2021-02-01,1.244
000001,平安银行(对照),3.0,3.0,2020-12-31,2021-02-01,1.244
600519,贵州茅台(对照),5.0,7.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),5.0,5.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),5.0,3.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),4.0,7.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),2.0,7.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),3.0,3.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),2.0,3.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),2.0,5.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),4.0,5.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),4.0,3.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),3.0,7.0,2024-08-28,2024-09-30,1.236
600519,贵州茅台(对照),3.0,5.0,2024-08-28,2024-09-30,1.236
